episode_id,keyword
S20-E18,bad parenting
S20-E19,1930s to 2020s
S20-E19,2d animation
S20-E19,teen idol
S20-E19,squalid apartment
S20-E19,murphy bed
S20-E19,keg party
S20-E20,1930s to 2020s
S20-E20,ayn rand
S20-E20,homophobic
S20-E20,reference to william shakespeare
S20-E20,disney spoof
S20-E20,2d animation
S20-E20,tobacco
S20-E20,spanish armada
S20-E20,seven dwarves
S20-E20,pre school
S20-E20,house of cards
S20-E20,snow white
S20-E20,queen elizabeth i
S20-E20,older version of self
S20-E20,reference to shakespeare's macbeth
S20-E20,anthology
S20-E21,1930s to 2020s
S20-E21,food poisoning
S20-E21,2d animation
S20-E21,walled city
S20-E21,norwegian flag
S20-E21,migrant worker
S20-E21,xylophone
S20-E21,xenophobia
S20-E21,vigilante
S20-E21,norwegian
S20-E21,norwegian american
S20-E21,funny accent
S20-E21,barley
