name,birthdate,birth_name,birth_place,birth_region,birth_country,height_meters,nickname
Orlando Baeza,,,,,,,
Jennifer Moeller,,,,,,,
Rene Vega,,,,,,,
Jung A. Yoo,,,,,,,
Alex Que,,,,,,,
John Liu,,,,,,,
Alan Decker,,,,,,,
Ray Miceli,,,,,,,
Emily Blunt,1983-02-23,Emily Olivia Leah Blunt,London,England,UK,1.7,Boop
Alberto Santiago,,,,,,,
Joe Saunders,,,,,,,
Viorel Voronca,,,,,,,
Patrick Buchanan,,,,,,,
Ronny Cox,,,,,,,
Eric Loudon,,,,,,,
Oscar Pangestu,,,,,,,
Dane Romley,,,,,,,
Joe Goyette,,,,,,,
Mary Orario-Natale,,,,,,,
Cynthia Jill French,,,,,,,
Walter Gonzalez,,,,,,,
Rudi Berden,,,,,,,
Rick Moser,,,,,,,
Trevor C. Johnson,,,,,,,
Larry Field,,,,,,,
Adam Greeley,,,,,,,
Nikki Isordia,,,,,,,
Jaspreet Dhillon,,,,,,,
Julia Fitzmaurice,,,,,,,
Ernie Keen,,,,,,,
Rosanna Lyons,,,,,,,
Maeve McGrath,,,,,,,
Natasha Wicke,,,,,,,
Jeff Johnson,,,,,,,
John Krause,,,,,,,
Yelena Geodakyan,,,,,,,
Matt Marshall,,,,,,,
Ashley Brooke Cooper,,,,,,,
Greg Checketts,,,,,,,
Michael Nobori,,,,,,,
Oscar Cervantes,,,,,,,
Michael Miller,,,,,,,
Robyn Anderson,,,,,,,
Jeremy Robinson,,,,,,,
Jack Dyer,,,,,,,
Lucas Gray,,,,,,,
Kent Rice,,,,,,,
Jess Espanola,,,,,,,
Chris Bolden,,,,,,,
Bill Higley,,,,,,,
Mike Morris,,,,,,,
Colin Contreary,,,,,,,
Erick T. Tran,,,,,,,
Holly Pitrago,,,,,,,
Gerald Clifford Rey,,,,,,,
Casey E. Coffey,,,,,,,
George Villaflor,,,,,,,
Eric Dunn,,,,,,,
Mark Behar,,,,,,,
Matthew Herbert,,,,,,,
Desiree E. Craig,,,,,,,
Jabu Henderson,,,,,,,
Jay Fukuto,,,,,,,
Lejon Douroux,,,,,,,
Jason Bikowski,,,,,,,
Rick Riccio,,,,,,,
Paul Newman,1925-01-26,Paul Leonard Newman,Shaker Heights,Ohio,USA,1.77,King Cool
Will Anderson,,,,,,,
Javier Pineda,,,,,,,
John W. Hyde,,,,,,,
Rick Polizzi,,,,,,,
Michael Bridge,,,,,,,
Denise Donatelli,,,,,,,
Elan Trinidad,,,,,,,
Alfred Cruz,,,,,,,
Andrea Romero,,,,,,,
Eric Lara,,,,,,,
Ben Lane,,,,,,,
Roger Injarusorn,,,,,,,
Michael D. Mitchell,,,,,,,
Eddie Rosas,,,,,,,
Robert Brunette,,,,,,,
Josh Taback,,,,,,,
Heliodoro Salvatierra,,,,,,,
Don Barrozo,,,,,,,
Amanda Byrnes,,,,,,,
Joe Montana,1956-06-11,Joseph Clifford Montana Jr.,New Eagle,Pennsylvania,USA,1.84,Joe Cool
Louise Jaffe,,,,,,,
Young Yoo,,,,,,,
Carlton Batten,,,,,,,
Mike Pettengill,,,,,,,
Tuan Nguyen,,,,,,,
Matt Battle,,,,,,,
Bradley Winters,,,,,,,
Sergio Guerra,,,,,,,
Richard K. Chung,,,,,,,
Debbie Peterson,,,,,,,
Orlando Distor,,,,,,,
Ian Wilcox,,,,,,,
Torien Blackwolf,,,,,,,
Shane Sowell,,,,,,,
Norm MacLeod,,,,,,,
Michael G. Mahan,,,,,,,
Darrel Bowen,,,,,,,
Stephenie Moffatt,,,,,,,
Utit Choomuang,,,,,,,
Cameron Porter,,,,,,,
Jason D. Warnesky,,,,,,,
Andy Chen,,,,,,,
Ralph Sosa,,,,,,,
Norman P. Auble,,,,,,,
Brent M. Bowen,,,,,,,
Steven Dean Moore,,,,,,,
Tom Madrid Jr.,,,,,,,
Kevin M. Newman,,,,,,,
Ernie Elicanal,,,,,,,
Dexter Reed,,,,,,,
Anne Legge,,,,,,,
Angela Wixtrom,,,,,,,
Anna Maltese,,,,,,,
Chance Raspberry,,,,,,,
Adam Klein,,,,,,,
Terry Greene,,,,,,,
Ray Claffey,,,,,,,
Ira Sherak,,,,,,,
Cason Swindle,,,,,,,
Scott Alberts,,,,,,,
Kurtis Kunsak,,,,,,,
Charles McCaskill,,,,,,,
Ed Ghertner,,,,,,,
Daniel Chiu,,,,,,,
Spice Girls,,,,,,,
Tom Boyd,,,,,,,
Edwin E. Aguilar,,,,,,,
Peter Gomez,,,,,,,
Timothy Bailey,,,,,,,
Heejin Kim,,,,,,,
Eli Balser,,,,,,,
Jeanne Erickson,,,,,,,
Ian Chen,,,,,,,
Ellen Page,1987-02-21,Ellen Grace Philpotts-Page,Halifax,Nova Scotia,Canada,1.55,The Tiny Canadian
Laurie Wetzler,,,,,,,
Larry Smith,,,,,,,
Steve Pilapil,,,,,,,
Ryan Rivette,,,,,,,
Adam Kuhlman,,,,,,,
Eric Koenig,,,,,,,
Larry Miravalles,,,,,,,
Mindi Lee,,,,,,,
Sandra Lee,,,,,,,
Jay Robinson,,,,,,,
Fall Out Boy,,,,,,,
Brooks Stonestreet,,,,,,,
T.J. Kim,,,,,,,
Herman Sharaf,,,,,,,
Jodie Foster,1962-11-19,Alicia Christian Foster,Los Angeles,California,USA,1.6,Jodie F
Bob Miller,,,,,,,
Karolina Waclawiak,,,,,,,
Kevin N. Moore,,,,,,,
Al Holter,,,,,,,
Lisa S. Cervantes,,,,,,,
Elizabeth Ableson,,,,,,,
Drew McPhail,,,,,,,
Billy Theriot,,,,,,,
Steven L. Smith,,,,,,,
William L. Arance,,,,,,,
Jake Flores,,,,,,,
Sam Simon,1955-06-06,Samuel Michael Simon,Los Angeles,California,USA,1.8,Simple
Joe Zimmerman,,,,,,,
Paul Wee,,,,,,,
Dominique Braud,,,,,,,
Steve Mills,,,,,,,
Caroline Cruikshank,,,,,,,
Lance Wilder,,,,,,,
Ryan Cheetham,,,,,,,
Dima Malanitchev,,,,,,,
Alexander Duke,,,,,,,
Silvia Pompei,,,,,,,
Martin Archer,,,,,,,
Melody Severns,,,,,,,
John Pattison,,,,,,,
Richard Gasparian,,,,,,,
Luis Escobar,,,,,,,
Brice Mallier,,,,,,,
David Salvador,,,,,,,
Michael Ludy,,,,,,,
Lisa Walder,,,,,,,
Michael Wolf,,,,,,,
Deanna Asato,,,,,,,
Rebecca Totman,,,,,,,
Sam Ho,,,,,,,
Robert Forster,1941-07-13,Robert Wallace Foster Jr.,Rochester,New York,USA,1.77,Bobby
Joe Wack,,,,,,,
Fill Marc Sagadraca,,,,,,,
Bert Klein,,,,,,,
Russi Taylor,1944-05-04,Russell Taylor,Cambridge,Massachusetts,USA,1.55,
Lauren Biller,,,,,,,
Debbie Mahan,,,,,,,
Istvan Majoros,,,,,,,
J.C. Wegman,,,,,,,
Gabriel DeFrancesco,,,,,,,
Esther H. Lee,,,,,,,
Myung Nam Chang,,,,,,,
Mark Ervin,,,,,,,
Tim Lauber,,,,,,,
Mark Linden,,,,,,,
Jennifer Dolce,,,,,,,
Robert Ingram,,,,,,,
Tricia Benson,,,,,,,
Manny DeGuzman,,,,,,,
Brian Grazer,1951-07-12,Brian Thomas Grazer,Los Angeles,California,USA,1.7,
Mike Scully,1956-10-02,Michael C. Scully,Springfield,Massachusetts,USA,1.74,
Maurice LaMarche,1958-03-30,,Toronto,Ontario,Canada,1.83,Moe
Marv Albert,1941-06-12,Marvin Philip Aufrichtig,Brooklyn,New York,USA,1.69,
Maggie Roswell,1952-11-14,Mary Margaret Nina Roswell,Los Angeles,California,USA,1.68,
Ed Begley Jr.,1949-09-16,Edward James Begley Jr.,Los Angeles,California,USA,1.93,
Nancy Cartwright,1957-10-25,Nancy Jean Cartwright,Dayton,Ohio,USA,1.57,
Tress MacNeille,1951-06-20,Teressa Claire Payne,Chicago,Illinois,USA,1.64,
Robert Nichols II,1958-05-04,Robert Lee Nichols II,Manhattan Beach,California,USA,,Bubba
Tom Mazzocco,1959-10-02,Thomas Norval Mazzocco,Inglewood,California,USA,1.83,
Kelsey Grammer,1955-02-21,Allen Kelsey Grammer,St. Thomas,U.S. Virgin Islands,USA,1.85,
Danny Elfman,1953-05-29,Daniel Robert Elfman,Los Angeles,California,USA,1.78,
Joe Mantegna,1947-11-13,Joseph Anthony Mantegna Jr.,Chicago,Illinois,USA,1.82,
Julie Kavner,1950-09-07,Julie Deborah Kavner,Los Angeles,California,USA,1.7,
Jeff Bezos,1964-01-12,Jeffrey Preston Jorgensen,Albuquerque,New Mexico,USA,1.71,
Marcia Wallace,1942-11-01,Marcia Karen Wallace,Creston,Iowa,USA,1.74,
Denis Leary,1957-08-18,Denis Colin Leary,Worcester,Massachusetts,USA,1.88,
Matt Warburton,1978-02-07,Matthew C Warburton,Strongsville,Ohio,USA,,
Mark Cuban,1958-07-31,,Pittsburgh,Pennsylvania,USA,1.89,
Jennie Hoffer,1979-02-06,Jennifer Anne Hoffer,Los Angeles,California,USA,,
Dell Hake,1943-08-13,Ardell Bradley Hake,Radcliffe,Iowa,USA,,
Peter Gave,1979-10-05,Peter A Gave,Massapequa,New York,USA,,
Dan V. Weiss,1979-01-27,,Santa Barbara,California,USA,1.78,
Mark Kirkland,1956-11-05,Mark Douglas Kirkland,Altadena,California,USA,,
Felicia Nalivansky-Caplan,1970-11-08,Felicia Mari Nalivansky,Los Angeles,California,USA,,
David Silverman,1957-03-15,,New York City,New York,USA,1.78,
Chris Ledesma,1958-01-28,Chris F. Ledesma,Los Angeles,California,USA,,
Julia Louis-Dreyfus,1961-01-13,Julia Elizabeth Scarlett Louis-Dreyfus,New York City,New York,USA,1.6,Little Yum-Yum
William Bemiller,1959-06-07,William Albert Bemiller,Los Angeles,California,USA,,
Richard Raynis,1956-12-27,Richard Allen Raynis,Northridge,California,USA,,
Colin Heck,1978-12-27,Colin Bradford Heck,Los Angeles,California,USA,,
Daniel Chun,1980-09-04,Daniel O Chun,Los Angeles,California,USA,,
Dean Scammahorn,1956-07-19,Dean Edward Scammahorn,Lakewood,California,USA,,
Glen Wuthrich,1965-05-08,Glendon T Wuthrich,Manhattan Beach,California,USA,,
Liz Climo,1981-07-24,Elizabeth Shearon Climo,Los Angeles,California,USA,,
Merl Reagle,1950-01-05,Merl Harry Reagle,Audubon,New Jersey,USA,,
Kipp Lennon,1960-03-16,Christopher Joel Lennon,Venice,California,USA,,
Rob Oliver,1977-03-25,Robert Douglas Oliver,Owosso,Michigan,USA,,
Jarod Daetwiler,1973-01-13,Jarod J. Daetwiler,Los Angeles,California,USA,,
Don Vanderbeek,1949-08-09,,Deerfield,Illinois,USA,,Beek
Brad Ableson,1975-09-02,Bradley Evan Ableson,Los Angeles County,California,USA,,
Dante Fabiero,1983-10-18,Dante Domingo Fabiero,Los Angeles,California,USA,,
John Mathot,1968-10-06,John Robert Mathot,Los Angeles,California,USA,,
Denise Sirkot,1955-07-10,Denise Marie Sirkot,Lakewood,Ohio,USA,,
Bill Odenkirk,1965-10-13,William Leonard Odenkirk,Naperville,Illinois,USA,,
Dan Greaney,1964-09-28,Daniel John Greaney,Duxbury,Massachusetts,USA,,
Matthew Nastuk,1964-10-13,Matthew Michael Nastuk,Los Angeles,California,USA,,
Orlando Gumatay,1968-09-02,,Glendale,California,USA,,
David Mirkin,1955-09-18,,Philadelphia,Pennsylvania,USA,1.85,
Shannon O'Connor,1974-10-06,Shannon C O'Connor,Los Angeles,California,USA,,
Karen Bauer,1964-11-11,Karen L Bauer,Los Angeles,California,USA,,
Brian J. Kaufman,1974-06-25,Brian James Kaufman,Clearfield,Pennsylvania,USA,,
Taylor Allen,1983-11-04,Taylor Martin Allen,Houston,Texas,USA,,
John Achenbach,1964-10-12,John David Achenbach,Camarillo,California,USA,,
Anna Pagan,1946-06-13,Anna Lucretia Pagan,Houston,Texas,USA,,
Sally Stevens,1939-11-24,Sally Jeanne Stevens,Los Angeles,California,USA,,
Alex Dilts,1965-02-25,Alexander Charles Dilts,Los Angeles,California,USA,,
Scott Thompson,1959-06-12,,North Bay,Ontario,Canada,1.78,
Rob LaZebnik,1962-05-06,Robert S LaZebnik,Pacific Palisades,California,USA,,
John Berman,1953-07-17,John Michael Berman,Los Angeles,California,USA,,
Yeardley Smith,1964-07-03,Martha Maria Yeardley Smith,Paris,,France,1.6,
Shohreh Aghdashloo,1952-05-11,Shohreh Vaziri-Tabar,Tehran,,Iran,1.65,
Tom Gammill,1957-05-19,Thomas W. Gammill,Darien,Connecticut,USA,,
Leasa Epps-Eisele,1983-03-17,Leasa Marie Epps,San Diego,California,USA,,
Bonita Pietila,1953-01-14,Bonita Lynn Pietila,Gwinn,Michigan,USA,,
Stephen Reis,1974-10-15,Stephen A Reis,Los Angeles,California,USA,,
Davy Lauterbach,1972-05-04,Davy Eric Lauterbach,Baltimore,Maryland,USA,,
Christianna Lang Daley,1976-06-27,Christianna Carmel Lang,Allston,Massachusetts,USA,,
Raymond S. Persi,1975-02-17,Raymond Saharath Persi,Los Angeles,California,USA,,
Brendan Hay,1979-02-19,,Long Island,New York,USA,,
Jonathan Gebhart,1970-08-24,,Havertown,Pennsylvania,USA,,
Will Shortz,1952-08-26,,Crawfordsville,Indiana,USA,,
Grant Lee,1965-08-17,Grant S. Lee,,California,USA,,
Scott Clausen,1974-05-08,,Hollywood,California,USA,,
Glen Hansard,1970-04-21,,Dublin,,Ireland,1.83,
Trista H. Navarro,1975-08-06,Trista Haley Navarro,,California,USA,,
Anne Hathaway,1982-11-12,Anne Jacqueline Hathaway,New York City,New York,USA,1.73,Annie
